"","Date","Open","High","Low","Close","Index","Country"
"14940","04-5-2007",864.61,877.55,860.68,876.84,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14941","04-4-2007",857.13,867.1,851.93,864.66,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14942","04-3-2007",847.76,855.75,845.51,855.75,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14943","04-2-2007",828.43,844.66,827.79,844.66,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14944","03-30-2007",816.4,828.39,811.19,825.79,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14945","03-29-2007",836.84,838.69,819.26,820.72,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14946","03-28-2007",842.24,845.4,805.2,835.75,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14947","03-27-2007",835.14,842.92,830.08,841.48,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14948","03-26-2007",820.36,833.58,819.73,833.58,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14949","03-23-2007",808.94,817.06,797.02,816.92,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14950","03-22-2007",809.55,817.83,806.84,808.56,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14951","03-21-2007",800.24,805.68,794.68,805.68,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14952","03-20-2007",787.2,795.42,785.03,794.91,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14953","03-19-2007",753.08,787.49,749.06,784.57,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14954","03-16-2007",788.84,791.54,765.28,774.77,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14955","03-15-2007",771.76,785.99,771.74,785.97,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14956","03-14-2007",772.43,779.23,751.38,772.34,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14957","03-13-2007",771.33,780,769.4,778.2,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14958","03-12-2007",760.93,769.93,750.58,769.93,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14959","03-9-2007",764.94,767.63,751.94,760.56,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14960","03-8-2007",752.93,763.43,745.08,763.2,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14961","03-7-2007",734.69,750.25,734.69,750.25,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14962","03-6-2007",723,735.19,717.85,731.19,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14963","03-5-2007",730.29,741.4,704.08,725.82,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14964","03-2-2007",718.97,734.91,717.23,730.55,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14965","03-1-2007",740.47,740.47,710.53,719.9,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14966","02-28-2007",695.49,740.14,695.49,736.81,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14967","02-27-2007",779.53,780.34,709.67,709.81,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14968","02-26-2007",762,776.22,752.25,776.12,"SZSE COMPOSITE INDEX","China-Shenzhen"
