Date,Close,High,Low,Open
2009/7/22,13353.211,13378.913,13111.826,13113.663
2009/7/21,13177.212,13420.919,13158.587,13380.573
2009/7/20,13381.215,13381.215,13069.842,13150.913
2009/7/17,13131.972,13183.328,12988.728,13058.275
2009/7/16,13081.89,13222.498,13031.701,13158.967
2009/7/15,13079.256,13112.342,12977.662,13027.663
2009/7/14,12991.064,12991.064,12752.077,12752.077
2009/7/13,12660.545,12795.384,12640.514,12705.484
2009/7/10,12706.007,12814.002,12602.931,12640.204
2009/7/9,12637.936,12652.076,12444.538,12491.515
2009/7/8,12488.581,12530.898,12096.844,12225.631
2009/7/7,12362.442,12593.811,12306.657,12450.639
2009/7/6,12489.925,12508.589,12301.922,12301.922
2009/7/3,12258.794,12261.908,11845.083,11873.178
2009/7/2,11970.721,11987.255,11858.069,11875.861
2009/7/1,11848.748,11849.285,11504.754,11529.543
2009/6/30,11566.611,11672.703,11541.941,11644.901
2009/6/29,11605.511,11655.256,11370.104,11423.465
